datetime,diesel_fuel_kWh,wind_power_kWh,diesel_time_h,wind_time_h,velocity_max_msec,velocity_mean_msec,tmp_grad
2019-05-01,642,209,20,14,12.86,3.91,-1
2019-05-02,657,197,19,11,13.2,3.8,-2
2019-05-03,766,50,24,6,7.8,2.57,-1
2019-05-04,683,44,22,5,7.1,2.12,0
2019-05-05,725,106,22,10,8.32,3.42,-1
2019-05-06,536,228,13,17,9.46,4.12,-1
2019-05-07,428,496,13,18,13.68,5.37,0
2019-05-08,389,423,13,19,11.52,5.28,-3
2019-05-09,353,331,14,14,14.31,4.62,0
2019-05-10,306,724,10,17,13.85,6.21,1
2019-05-11,643,153,22,7,9.56,3.32,1
2019-05-12,721,12,24,1,4.31,1.47,1
2019-05-13,284,633,10,17,14.95,5.78,2
2019-05-14,756,69,24,4,9.25,2.24,1
2019-05-15,695,88,24,6,11.64,3.11,2
2019-05-16,491,222,20,10,8.47,4.36,1
2019-05-17,366,648,12,18,16.47,6.91,2
2019-05-18,215,772,7,19,16.52,6.33,2
2019-05-19,185,746,6,18,24.15,9.46,2
2019-05-20,468,330,13,15,23.35,5.94,3
2019-05-21,306,1072,8,19,20.05,8.17,0
2019-05-22,328,778,10,17,19.89,7.59,3
2019-05-23,426,891,14,14,17.46,7.84,2
2019-05-24,413,897,13,14,14.41,9.33,3
2019-05-25,395,1002,10,16,18.6,11.52,2
2019-05-26,204,946,6,21,14.52,10.08,0
2019-05-27,232,937,8,20,17.94,9.12,2
2019-05-28,135,978,3,24,16.95,10.84,1
2019-05-29,84,1079,2,24,17.54,12.95,2
2019-05-30,122,839,3,24,16.26,9.78,2
2019-05-31,117,791,4,24,14.85,8.06,2
2019-06-01,370,564,12,14,16.03,11.6,3
2019-06-02,377,561,11,16,12.42,7.3,2
2019-06-03,474,397,12,19,7.59,5.31,2
2019-06-04,674,249,22,5,4.49,2.57,3
2019-06-05,521,324,17,10,11.84,8.02,2
2019-06-06,433,389,15,15,9.34,5.01,2
2019-06-07,387,497,12,18,11.92,6.22,2
2019-06-08,54,1038,2,24,14.56,12.21,4
2019-06-09,0,989,0,24,14.95,10.63,2
2019-06-10,265,629,8,19,14.51,9.84,3
2019-06-11,231,610,8,18,14.14,10.3,2
2019-06-12,226,569,8,18,14.0,8.67,2
2019-06-13,198,568,9,18,12.44,9.46,2
2019-06-14,376,569,13,16,16.12,12.71,4
2019-06-15,279,563,11,16,12.36,10.55,3
2019-06-16,346,560,14,14,14.26,12.13,3
2019-06-17,721,80,23,8,8.53,2.86,4
2019-06-18,689,143,22,8,9.12,3.13,4
2019-06-19,386,473,13,18,10.99,3.68,5
2019-06-20,475,341,16,14,9.87,4.18,10
2019-06-21,879,11,24,1,7.55,2.6,8
2019-06-22,879,0,24,0,4.13,1.89,8
2019-06-23,683,261,19,9,10.27,3.28,10
2019-06-24,943,0,24,0,3.85,1.81,9
2019-06-25,890,14,24,1,4.59,2.16,10
2019-06-26,373,604,16,12,11.21,8.66,11
2019-06-27,758,137,16,9,15.39,4.84,11
2019-06-28,587,300,18,10,12.27,4.28,11
2019-06-29,720,292,15,11,13.93,4.52,11
2019-06-30,758,233,16,16,10.99,4.29,12
2019-07-01,702,138,21,8,8.26,3.22,11
